endTime,endDate,artistName,trackName,msPlayed,secsPlayed,minsPlayed
5/18/2021 18:36,5/18/2021,Keith Urban,Somewhere In My Car,24400,24.4,0.41
10/29/2021 22:20,10/29/2021,Beach Bunny,Dream Boy,94413,94.41,1.57
2/10/2022 22:49,2/10/2022,Turnover,New Scream,193988,193.99,3.23
2/11/2022 0:57,2/11/2022,Pinegrove,Alaska,125830,125.83,2.1
2/11/2022 1:01,2/11/2022,Pinegrove,Iodine,226041,226.04,3.77
2/11/2022 1:01,2/11/2022,Pinegrove,Orange,2581,2.58,0.04
2/11/2022 1:02,2/11/2022,Pinegrove,Flora,33322,33.32,0.56
2/11/2022 1:03,2/11/2022,Pinegrove,Respirate,96021,96.02,1.6
2/11/2022 3:38,2/11/2022,Pinegrove,Respirate,17763,17.76,0.3
2/11/2022 3:40,2/11/2022,The Beatles,Blackbird - Remastered 2009,138386,138.39,2.31
2/11/2022 3:44,2/11/2022,AC/DC,Have a Drink on Me,238466,238.47,3.97
2/11/2022 4:19,2/11/2022,AC/DC,You Shook Me All Night Long,192052,192.05,3.2
2/11/2022 4:21,2/11/2022,C418,Sweden,148330,148.33,2.47
2/11/2022 4:22,2/11/2022,Moisés Nieto,"7PM (From ""Animal Crossing: New Leaf"")",43733,43.73,0.73
2/11/2022 13:45,2/11/2022,Pinegrove,Alaska,29981,29.98,0.5
2/11/2022 13:45,2/11/2022,Pinegrove,Habitat,415748,415.75,6.93
2/11/2022 18:19,2/11/2022,Pinegrove,Alaska,95841,95.84,1.6
2/11/2022 18:22,2/11/2022,Pinegrove,Iodine,66384,66.38,1.11
2/11/2022 18:22,2/11/2022,Modern Baseball,Holy Ghost,8620,8.62,0.14
2/11/2022 18:37,2/11/2022,Modern Baseball,Mass,104598,104.6,1.74
2/11/2022 18:40,2/11/2022,Modern Baseball,Wedding Singer,167491,167.49,2.79
2/11/2022 18:44,2/11/2022,Modern Baseball,Note To Self,229075,229.08,3.82
2/11/2022 18:46,2/11/2022,Foo Fighters,Congregation,60,0.06,0
2/11/2022 18:46,2/11/2022,Modern Baseball,The Thrash Particle,149426,149.43,2.49
2/11/2022 18:51,2/11/2022,Foo Fighters,The Pretender,269373,269.37,4.49
2/11/2022 18:53,2/11/2022,Foo Fighters,Breakout,120387,120.39,2.01
2/11/2022 18:58,2/11/2022,Foo Fighters,Stranger Things Have Happened,321053,321.05,5.35
2/11/2022 18:58,2/11/2022,Foo Fighters,Low,10877,10.88,0.18
2/11/2022 19:02,2/11/2022,Foo Fighters,I'll Stick Around,232533,232.53,3.88
2/11/2022 19:03,2/11/2022,Foo Fighters,Monkey Wrench,77007,77.01,1.28
2/11/2022 19:03,2/11/2022,Foo Fighters,Dear Rosemary,6320,6.32,0.11
2/11/2022 19:03,2/11/2022,Foo Fighters,Wheels,1000,1,0.02
2/11/2022 19:08,2/11/2022,Foo Fighters,Best of You,255626,255.63,4.26
2/11/2022 19:09,2/11/2022,Foo Fighters,Making A Fire,91374,91.37,1.52
2/11/2022 19:13,2/11/2022,Aunt Martha,Neighbor Song,255453,255.45,4.26
2/11/2022 19:14,2/11/2022,Magic Man,Catherine,13287,13.29,0.22
2/11/2022 19:15,2/11/2022,Sjowgren,I Don't Know,105900,105.9,1.77
2/11/2022 23:09,2/11/2022,"Slaughter Beach, Dog",Gold and Green,187696,187.7,3.13
2/11/2022 23:11,2/11/2022,"Slaughter Beach, Dog",Friend Song,75105,75.11,1.25
2/11/2022 23:11,2/11/2022,"Slaughter Beach, Dog",My Girl,1857,1.86,0.03
2/11/2022 23:14,2/11/2022,"Slaughter Beach, Dog",Sleepwalking,176667,176.67,2.94
2/11/2022 23:17,2/11/2022,"Slaughter Beach, Dog",Toronto Mug II,9822,9.82,0.16
2/11/2022 23:17,2/11/2022,"Slaughter Beach, Dog",Bed Fest,203647,203.65,3.39
2/11/2022 23:17,2/11/2022,"Slaughter Beach, Dog",Van Morrison,4342,4.34,0.07
2/11/2022 23:22,2/11/2022,"Slaughter Beach, Dog",Buttercup,279899,279.9,4.66
2/11/2022 23:24,2/11/2022,"Slaughter Beach, Dog",Friend Song - Audiotree Live Version,3088,3.09,0.05
2/11/2022 23:24,2/11/2022,"Slaughter Beach, Dog",Fair Shot,143026,143.03,2.38
2/11/2022 23:26,2/11/2022,"Slaughter Beach, Dog",104 Degrees - Audiotree Live Version,132307,132.31,2.21
2/11/2022 23:31,2/11/2022,"Slaughter Beach, Dog",104 Degrees,2113,2.11,0.04
2/11/2022 23:31,2/11/2022,Lions and Tigers,Roam,1253,1.25,0.02
2/11/2022 23:31,2/11/2022,"Slaughter Beach, Dog",Fish Fry,276654,276.65,4.61
2/11/2022 23:31,2/11/2022,"Slaughter Beach, Dog",Toronto Mug,21209,21.21,0.35
2/11/2022 23:34,2/11/2022,Modern Baseball,Two Good Things,168885,168.89,2.81
2/11/2022 23:38,2/11/2022,Just Friends,Fever,189161,189.16,3.15
2/11/2022 23:40,2/11/2022,Modern Baseball,Wedding Singer,115078,115.08,1.92
2/12/2022 0:46,2/12/2022,Modern Baseball,Wedding Singer,6106,6.11,0.1
2/12/2022 0:49,2/12/2022,Mom Jeans.,Scott Pilgrim vs. My GPA,179234,179.23,2.99
2/12/2022 2:54,2/12/2022,Mom Jeans.,Scott Pilgrim vs. My GPA,43421,43.42,0.72
2/12/2022 2:55,2/12/2022,The Front Bottoms,The Beers,66687,66.69,1.11
2/12/2022 2:59,2/12/2022,Pinegrove,No Drugs,168946,168.95,2.82
2/12/2022 3:02,2/12/2022,The Front Bottoms,Rhode Island,205320,205.32,3.42
