artistName,trackName,total_mins_played,total_streams
PinkPantheress,Just for me,206.15,119
Turnover,Cutting My Fingers Off,288.24,108
Phoebe Bridgers,Motion Sickness,314.96,107
girl in red,we fell in love in october,259.26,106
Rainbow Kitten Surprise,Work Out,400.57,100
Phoebe Bridgers,Kyoto,248.36,99
Turnover,Dizzy On the Comedown,296.05,99
PinkPantheress,Pain,149.08,97
PinkPantheress,Break it off - Bonus,136.92,93
PinkPantheress,Attracted To You,95.69,91
PinkPantheress,I must apologise,143.88,90
girl in red,i wanna be your girlfriend,238.07,90
girl in red,midnight love,243.86,90
The 1975,About You,395.86,88
Manchester Orchestra,The Gold - Phoebe Bridgers Version,283.91,87
The 1975,Robbers,275.45,86
"Slaughter Beach, Dog",Acolyte,261.92,84
The 1975,The 1975,133.09,83
Alvvays,Not My Baby,227.39,82
Day Wave,Where Do You Go,238.44,81
Turnover,Humming,262.92,77
The 1975,Part Of The Band,237.18,75
girl in red,bad idea!,188.73,75
Day Wave,Loner,148.32,70
Rainbow Kitten Surprise,Devil Like Me,141.67,70
Turnover,New Scream,252.25,70
Hazel English,Nine Stories,139.11,69
Pinegrove,Old Friends,163.03,69
Big Wild,6's to 9's - Day Wave Remix,144.39,68
Mura Masa,"bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)",170.85,68
"Slaughter Beach, Dog",Gold and Green,184.7,68
The 1975,Happiness,240.41,68
Day Wave,Pastlife,142.06,66
Rainbow Kitten Surprise,It's Called: Freefall,141.37,66
citrus,Thursday,176.35,66
Turnover,Hello Euphoria,199.09,65
Lawrence Rothman,Kate's Not Here - Day Wave & Lawrence Rothman Remix,157.56,63
Phoebe Bridgers,Moon Song,218.32,63
Phoebe Bridgers,Scott Street,230.81,63
Day Wave,Before We Knew,157.88,62
Rainbow Kitten Surprise,Cocaine Jesus,198.96,62
PinkPantheress,Where you are (feat. WILLOW),145.52,61
The 1975,I'm In Love With You,211.47,61
Day Wave,Drag,141.87,60
Rainbow Kitten Surprise,First Class,251.41,60
Clairo,Bags,184.95,59
Day Wave,Something Here,208.11,59
PinkPantheress,Passion,109.75,59
girl in red,girls,169.86,59
"Slaughter Beach, Dog",Bed Fest,127.33,58
Her's,What Once Was,192.64,57
The 1975,It's Not Living (If It's Not With You),176.14,57
"Slaughter Beach, Dog",Are You There,191.38,56
Tame Impala,Breathe Deeper,187.58,56
Rainbow Kitten Surprise,Painkillers,170.4,55
"Slaughter Beach, Dog",Phoenix,140.57,55
fanclubwallet,This Must Be the Place,220.47,55
Turnover,I Would Hate You If I Could,161.72,54
Pinegrove,Alaska,105.57,53
The 1975,Somebody Else,192.11,53
Turnover,Take My Head,150.77,53
girl in red,October Passed Me By,125.52,53
Hazel English,All Dressed Up,116.84,52
The 1975,Chocolate,81.16,52
Turnover,Diazepam,134.1,52
girl in red,4am,98.73,52
Harriette,at least i'm pretty,57.61,51
The 1975,An Encounter,49.4,51
Phoebe Bridgers,I Know The End,220.32,50
Day Wave,Potions,140.52,49
PinkPantheress,All my friends know,89.06,49
"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),57.81,49
girl in red,Serotonin,130.86,49
Alvvays,"Archie, Marry Me",102.37,48
Phoebe Bridgers,Garden Song,143.65,48
The 1975,Girls,112.77,48
"Slaughter Beach, Dog",104 Degrees,96.78,47
Alvvays,Dreams Tonite,114.68,46
"Slaughter Beach, Dog",Black Oak,219.63,46
fanclubwallet,Car Crash in G Major,77.98,46
